Product Type,Status,Recalling Firm,City,State/Province,Postal Code,Country,Recall Number,Classification,Product Description,Reason for Recall
Biologics,Terminated,Versiti Illinois Inc,Aurora,IL,"	60506-1401",United States,B-0056-2021,Class III,"Red Blood Cells, Leukocytes Reduced","Blood product, not meeting product specifications, was distributed."
Devices,Ongoing,"Encore Medical, LP",Austin,TX,"	78758-5445",United States,Z-0479-2021,Class II,EMPOWR Partial Knee Peg Drill Guide; Model: 800-06-007.,"There have been issues experienced with the peg preparation steps, specifically drilling of the Femoral posterior peg. Upon drilling, the shaft portion of the drill may bind within the Posterior Peg drill guide. The extended length of the drill guide and tight tolerances to ensure accurate preparation seem to be contributing to this situation. There is a potential of a delay in surgery if this issue were to recur."
Devices,Ongoing,"Encore Medical, LP",Austin,TX,"	78758-5445",United States,Z-0480-2021,Class II,EMPOWR Partial Knee Peg Drill; Model: 800-06-008.,"There have been issues experienced with the peg preparation steps, specifically drilling of the Femoral posterior peg. Upon drilling, the shaft portion of the drill may bind within the Posterior Peg drill guide. The extended length of the drill guide and tight tolerances to ensure accurate preparation seem to be contributing to this situation. There is a potential of a delay in surgery if this issue were to recur."
Devices,Ongoing,Luminex Corporation,Northbrook,IL,"	60062-1829",United States,Z-0476-2021,Class II,"Verigene Processor SP, Model Numbers 10-0000-07 and 10-0000-07R.  Used with assay: Luminex, VERIGENE Gram-Positive Blood Culture Nucleic Acid Test,BC-GP, IVD - Product Usage: IVD sample processor, which utilizes a single-use disposable test consumable and a self-contained Verigene Test Cartridge for each sample tested.","Luminex has determined that three (3) separate test fixtures used by field service engineers to service the VERIGENE SP Processors were procured from unapproved sources and, in some cases, were manufactured using unvalidated processes.  These text fixtures were used to calibrate and verify VERIGENESP devices."
Devices,Ongoing,Luminex Corporation,Northbrook,IL,"	60062-1829",United States,Z-0477-2021,Class II,"Verigene Processor SP, Model Numbers 10-0000-07 and 10-0000-07R.  Used with assay Luminex, VERIGENE Gram-Negative Blood Culture Nucleic Acid Test, BC-GN, IVD - Product Usage: IVD sample processor, which utilizes a single-use disposable test consumable and a self-contained Verigene Test Cartridge for each sample tested.","Luminex has determined that three (3) separate test fixtures used by field service engineers to service the VERIGENE SP Processors were procured from unapproved sources and, in some cases, were manufactured using unvalidated processes.  These text fixtures were used to calibrate and verify VERIGENE SP devices."
Devices,Ongoing,"Conformis, Inc.",Billerica,MA,"	01821-4154",United States,Z-0475-2021,Class II,"iTotal Hip Replacement System, Model number HAA-050-D020-020102    The Conformis Hip System includes standard hip replacement components as well as the following patient specific components: femoral stem and single use instrumentation.",Incorrect hip components were provided in kits.
Devices,Ongoing,"Coloplast Manufacturing US, LLC",Minneapolis,MN,"	55411-3431",United States,Z-0488-2021,Class II,Titan Pump - Product Usage: indicated for male patients suffering from erectile dysfunction (impotence) who are considered to be candidates for implantation of a penile prosthesis.,Potential increased occurrence of pump fracture over the lifetime of the device.
Devices,Ongoing,"Bayer Medical Care, Inc.",Indianola,PA,"	15051-9702",United States,Z-0483-2021,Class II,"Brand Name: MEDRAD Stellant FLEX Syringe Kits    Common Name: Angiographic Syringe    Catalog/REF Number: FLEXD-150-SCS  Description:  2 - 150 mL FLEX syringes, 1 large saline spike, 1 small contrast spike, patient t-connector tubing & prime tube.    Catalog/REF Number: FLEXD-150-SPK  Description: 2 - 150 mL FLEX syringes, 2 small spikes, patient t-connector tubing & prime tube.",Specific lots of MEDRAD Stellant FLEX  150 mL syringe kits may have holes and/or cracks that have the potential to allow fluid to leak out of the syringe.
Devices,Ongoing,"Geistlich Pharma North America, Inc.",Princeton,NJ,"	08540-6239",United States,Z-0490-2021,Class II,"Geistlich Bio-Oss Pen 0.25-1mm 0.25g - Product Usage: natural bone mineral for filling of bone defects in maxillofacial surgery, implantology, and periodontology. Product Number: 20115  ","Difficult to expel Geistlich Bio-Oss granules from the pen, resistance could suddenly drop, and the granules may be expelled all at once, causing surrounding tissue, particularly in use for the sinus lift indication and while unlikely, could pose a risk for patient harm, including irritation of the oral mucosa or even a perforation of the Schneiderian membrane"
Devices,Ongoing,"Geistlich Pharma North America, Inc.",Princeton,NJ,"	08540-6239",United States,Z-0491-2021,Class II,"Geistlich Bio-Oss Pen 0.25-1mm 0.5g - Product Usage: natural bone mineral for filling of bone defects in maxillofacial surgery, implantology, and periodontology. Product Number: 20116  ","Difficult to expel Geistlich Bio-Oss granules from the pen, resistance could suddenly drop, and the granules may be expelled all at once, causing surrounding tissue, particularly in use for the sinus lift indication and while unlikely, could pose a risk for patient harm, including irritation of the oral mucosa or even a perforation of the Schneiderian membrane"
Devices,Ongoing,"Geistlich Pharma North America, Inc.",Princeton,NJ,"	08540-6239",United States,Z-0492-2021,Class II,"Geistlich Bio-Oss Pen 1-2mm 0.5g - Product Usage: natural bone mineral for filling of bone defects in maxillofacial surgery, implantology, and periodontology. Product Number: 20126","Difficult to expel Geistlich Bio-Oss granules from the pen, resistance could suddenly drop, and the granules may be expelled all at once, causing surrounding tissue, particularly in use for the sinus lift indication and while unlikely, could pose a risk for patient harm, including irritation of the oral mucosa or even a perforation of the Schneiderian membrane"
Devices,Ongoing,"Viewray, Inc.",Mountain View,CA,"	94043-4025",United States,Z-0481-2021,Class II,"ViewRay  MRIdian System: Model No. 10000, CE, Rated Supply Voltage - 380/480 VAC, 3 - Frequency Range (Hertz) - 50/60 Hz, Rated Input in Amperes - 210 A, UDI.      The MRIdian system and the MRIdian Linac system, with magnetic resonance imaging capabilities, is intended to provide stereotactic radiosurgery and precision radiotherapy for lesions, tumors, and conditions anywhere in the body where radiation treatment is indicated.",There is a potential that components of the receive coil can reach elevated temperatures which has the potential to cause a burn  injury to the patient or user.
Devices,Ongoing,"Viewray, Inc.",Mountain View,CA,"	94043-4025",United States,Z-0482-2021,Class II,"ViewRay  MRIdian Linac System: Model No. 20000, CE, Rated Supply Voltage - 380/480 VAC, 3 - Frequency Range (Hertz) - 50/60 Hz, Rated Input in Amperes - 210 A, UDI.    The MRIdian system and the MRIdian Linac system, with magnetic resonance imaging capabilities, is intended to provide stereotactic radiosurgery and precision radiotherapy for lesions, tumors, and conditions anywhere in the body where radiation treatment is indicated.",There is a potential that components of the receive coil can reach elevated temperatures which has the potential to cause a burn  injury to the patient or user.
Devices,Ongoing,"Intuitive Surgical, Inc.",Sunnyvale,CA,"	94086-5304",United States,Z-0489-2021,Class II,"Box Label: ION Fully Articulating Catheter, REF 490105, VER 08 - Product Usage: used to navigate the Ion Fully Articulating Catheter within the lung to a planned path in order to sample a target.    User Manual:  ION Endoluminal System, System, Instruments, and Accessories User Manual, PN 553990-05 REV. A 2019.12",The distal tip ring of the fully articulating catheter may become dislodged during the procedure.
Devices,Ongoing,"MEDTRONIC ATS MEDICAL, INC.",Plymouth,MN,"	55447-5439",United States,Z-0493-2021,Class II,"Cardioblate CryoFlex, Surgical Ablation Probe, Model Number 60SF2, PROBE 60SF2 CRYOFLEX 10CM 26L - Product Usage: is a single use, disposable cryoprobe that is designed for use with the CryoFlex Surgical Ablation System. The probe has an integrated thermocouple for monitoring temperature at its ablation segment.",There is a potential defect in the seals of the sterile barrier pouch used to package the CryoFlex disposables devices
Devices,Ongoing,"MEDTRONIC ATS MEDICAL, INC.",Plymouth,MN,"	55447-5439",United States,Z-0494-2021,Class II,"Cardioblate CryoFlex, Surgical Ablation Probe, Model Number 60SF3, PROBE 60SF3 CRYOFLEX 10-S 26L - is a single use, disposable cryoprobe that is designed for use with the CryoFlex Surgical Ablation System. The probe has an integrated thermocouple for monitoring temperature at its ablation segment.",There is a potential defect in the seals of the sterile barrier pouch used to package the CryoFlex disposables devices
Devices,Ongoing,"MEDTRONIC ATS MEDICAL, INC.",Plymouth,MN,"	55447-5439",United States,Z-0495-2021,Class II,"Cardioblate CryoFlex, Surgical Ablation Probe, Model Number 60SF7, PROBE 60SF7 CRYOFLEX 7CM 26L - is a single use, disposable cryoprobe that is designed for use with the CryoFlex Surgical Ablation System. The probe has an integrated thermocouple for monitoring temperature at its ablation segment.",There is a potential defect in the seals of the sterile barrier pouch used to package the CryoFlex disposables devices
Devices,Ongoing,"MEDTRONIC ATS MEDICAL, INC.",Plymouth,MN,"	55447-5439",United States,Z-0496-2021,Class II,"Cardioblate CryoFlex, Surgical Ablation Probe, Model Number 60CM1, CLAMP 60CM1 CRYOFLEX PROBE 26L - is a single use, disposable cryoprobe that is designed for use with the CryoFlex Surgical Ablation System. The probe has an integrated thermocouple for monitoring temperature at its ablation segment.",There is a potential defect in the seals of the sterile barrier pouch used to package the CryoFlex disposables devices
Devices,Ongoing,"Mevion Medical Systems, Inc.",Littleton,MA,"	01460-2017",United States,Z-0485-2021,Class II,"MEVION S250i, MEVION S250; Proton Radiation Treatment System - Product Usage: intended to deliver proton radiation treatment to patients with localized tumors or any other conditions susceptible to treatment by radiation",Treatment beam information disappears on Treatment Console screen while beam delivery continues potential for harm to a patient could occur
Devices,Ongoing,"Hill-Rom Manufacturing, Inc.",Saint Paul,MN,"	55126-2910",United States,Z-0484-2021,Class II,"Life2000 Ventilation System, including Life2000 Ventilator and Life2000 Compressor, Model MS-01-0118 - Product Usage: use in home and institutional settings and is not intended for ambulance or air transport.","Under certain conditions, there is a risk for fire."
Devices,Ongoing,"Advanced Bionics, LLC",Valencia,CA,"	91355-1398",United States,Z-0486-2021,Class III,"AB PowerCel 230 (velvet black), REF: CI-5523-150, UDI: (01) 07630016832956 used to power the following devices: Na픡a CI Q90 Sound Processor  (CI-5280), Na픡a CI Q70 Sound Processor (CI-5245) and Na픡a CI Q30 Sound Processor (CI-5260)",Mislabeling; It has been determined that some batteries were improperly labeled and may contain a different battery life than indicated.
Devices,Ongoing,"Advanced Bionics, LLC",Valencia,CA,"	91355-1398",United States,Z-0487-2021,Class III,"AB PowerCel 170 (velvet black), REF: CI-5517-150, UDI: (01) 07630016833113 used to power the following devices: Na픡a CI Q90 Sound Processor  (CI-5280), Na픡a CI Q70 Sound Processor (CI-5245) and Na픡a CI Q30 Sound Processor (CI-5260).",Mislabeling; It has been determined that some batteries were improperly labeled and may contain a different battery life than indicated.
Drugs,Ongoing,"Sunstar Americas, Inc.",Schaumburg,IL,"	60195-1901",United States,D-0103-2021,Class I,"Paroex (chlorhexidine gluconate) Oral Rinse, USP 0.12%, Alcohol Free, Rx only, packaged in: a) 1 pint  (473 mL) NDC 52376-021-02; b) 4 fl oz (118 mL) NDC 52376-021-04, Sunstar Americas, Inc.",Microbial Contamination of Non-sterile Products: contamination with Burkholderia lata.
Drugs,Ongoing,AA PRODUCTS INC,Laredo,TX,"	78045-1822",United States,D-0102-2021,Class II,"SYP Health Hand Sanitizer Alcohol Gel (ethyl alcohol) 70%, Net Wt. 16.91 FL OZ (500 mL) bottles,Biotecnologia, Educacion y Genetica, S.A. de C.V. Av. Quetra, UPC 9 780201 378624 .",CGMP Deviations: product manufactured at the same facility that produced product that FDA sampled and found to be subpotent for ethanol and contained methanol.
Drugs,Ongoing,"Jubilant Cadista Pharmaceuticals, Inc.",Salisbury,MD,"	21801-2249",United States,D-0104-2021,Class II,"clomiPRAMINE Hydrochloride Capsules USP, 50 mg, 30-count bottle, Rx Only, Manufactured by: Jubilant Cadista Pharmaceuticals Inc., Salisbury, MD  NDC 59746-711-30  ",Failed Tablet/Capsule Specification
Drugs,Ongoing,EYWA PHARMA INC,Princeton,NJ,"	08540-6628",United States,D-0109-2021,Class II,"Levetiracetam Tablets, USP 500 mg, packaged in 120-count bottle, Rx only, Manufactured by: VKT Pharma Private Limited Srikakulam, India - 532 409, Manufactured for: Eywa Pharma Inc. 2 Research Way, Floor 3 Princeton, NJ 08540, NDC 71930-063-52",Presence of foreign tablet/capsule: A 1000 mg Levetiracetam Tablet was found in 500 gram bottle of Levetiracetam Tablets.
Drugs,Ongoing,Fusion Health and Vitality LLC,Alpharetta,GA,"	30004-8433",United States,D-0107-2021,Class II,"Immune Boost with natural strawberry flavor, 8,000 IU, Supports a Healthy and Balanced Immune System, 60 mL bottle, Manufactured by: Fusion Health and Vitality, LLC. 1360 Union Hill Road, Suite 11B Alpharetta, GA 30004.",Marketed without an Approved NDA/ANDA: Product marketed with drug claims.
Drugs,Ongoing,Heritage Pharmaceuticals Inc,East Brunswick,NJ,"	08816-1145",United States,D-0108-2021,Class III,"Felodipine Extended Release Tablets, USP 10 mg,100-count bottle, Rx only, Distributed by: Heritage Pharmaceuticals Inc. East Brunswick, NJ 08816 Made in India, NDC 23155-050-01",Failed impurities/ degradation specifications: Out of specification impurity results were observed during routine testing of stability samples for the impurity Felodipine Related compound A
Drugs,Ongoing,"Teligent Pharma, Inc.",Buena,NJ,"	08310",United States,D-0110-2021,Class III,"Triamcinolone Acetonide Lotion USP, 0.025%, 60 mL (60 grams) bottle, Rx Only, Teligent Pharma, Inc. Buena, New Jersey 08310, NDC 52565-010-59","Subpotent Drug: One lot of Triamcinolone Acetonide Lotion, 0.025% 60 mL.does not meet assay results."
Drugs,Ongoing,"Fresenius Kabi USA, LLC",Lake Zurich,IL,"	60047-8930",United States,D-0105-2021,Class III,"DOXOrubicin Hydrochloride Injection, USP, 10 mg / 5 mL (2 mg / mL), 5 mL fill in a 6 mL vial, Single Dose Vial, Rx only, Sterile, Fresenius Kabi, Lake Zurich, IL 60047.  NDC: 63323-883-05",Cross Contamination with Other Products: trace amounts of octreotide found during testing
Food,Ongoing,Whole Foods Market,Austin,TX,"	78703-4644",United States,F-0130-2021,Class I,"Macaroni & Cheese, chef s case; Macaroni & Cheese, packaged in clear plastic container; Macaroni & Cheese, online and catering product code begins with 286501, 263608, 114449, or 109866",Potential to contain undeclared egg
Food,Ongoing,Whole Foods Market,Austin,TX,"	78703-4644",United States,F-0131-2021,Class I,"Rotisserie Chicken Meals with Mac & Cheese and Broccoli, packaged in clear plastic container with printed label product code begins with 261596  261580, 261590, 261601, 261608, or 261616",Potential to contain undeclared egg
Food,Ongoing,Whole Foods Market,Austin,TX,"	78703-4644",United States,F-0132-2021,Class I,"Fried Chicken Meal with Mac & Cheese, packaged in clear plastic container with printed label product code begins with 247257; Fried Chicken Meal with Mac & Cheese, packaged on hot bar product code begins with 237444",Potential to contain undeclared egg
Food,Ongoing,Whole Foods Market,Austin,TX,"	78703-4644",United States,F-0133-2021,Class I,"Chicken Rustico Romano Chef Plate with Mac & Cheese and Broccoli, packaged in clear plastic container with printed label product code begins with 241442",Potential to contain undeclared egg
Food,Ongoing,Whole Foods Market,Austin,TX,"	78703-4644",United States,F-0134-2021,Class I,"Chicken Breast Chef Plate with Mac & Cheese and Broccoli, packaged in clear plastic container with printed label product code begins with 299430",Potential to contain undeclared egg
Food,Ongoing,Whole Foods Market,Austin,TX,"	78703-4644",United States,F-0135-2021,Class I,"BBQ Turkey Meatballs Chef Plate with Mac & Cheese and Green Beans, packaged in clear plastic container with printed label product code begins with 241464",Potential to contain undeclared egg
Food,Ongoing,Whole Foods Market,Austin,TX,"	78703-4644",United States,F-0136-2021,Class I,"Roasted Turkey Chef Plate with Mac & Cheese and Broccoli, packaged in clear plastic container with printed label product code begins with 242019",Potential to contain undeclared egg
Food,Ongoing,High Quality Organics,Reno,NV,"	89506-2600",United States,F-0128-2021,Class I,"HQO  High Quality Organics   Organic Thyme Leaves, Whole  Net Weight 30 lbs., 500 lbs.  High Quality Organics  1201 Moya Boulevard  Reno, Nevada 89506  Certified Organic by QAI    ",Potential Salmonella contamination.
Food,Ongoing,Fresh Express Incorpated,Windermere,FL,"	34786-8426",United States,F-0138-2021,Class I,"FRESH EXPRESS KIT CAESAR SUPREME, Romaine Lettuce, Creamy Caesar Dressing, Italian Artisan Cheeses, Savory Garlic Croutons, Total Net WT. 10.5oz (298g)",Fresh Express Kit Caesar Supreme bagged salad potentially contaminated with Escherichia coli STEC O26.
Food,Ongoing,"Vitamin Cottage Natural Foods Market, Inc DBA Natural Grocers",Lakewood,CO,"	80228-2824",United States,F-0126-2021,Class II,"Natural Grocers, Elderberries Whole Organic, 4 oz. (113g), plastic bag, UPC 0-0082-00304-3",Potential contamination with Salmonella.
Food,Ongoing,GT's Living Foods,Vernon,CA,"	90058-2116",United States,F-0137-2021,Class II,"Synergy raw kombucha - Multi-Green;  16 fl. oz. (473 mL)    UPC 7 22430 14016 2    GT's Living Foods LLC  Beverly Hills, CA",FDA Sampling found high levels of  microcystins  in Kombucha Multi Green.
Food,Ongoing,Singh Trading Inc. DBA Roshni Foods,Laurel,MD,"	20707-4909",United States,F-0125-2021,Class II,Green Raisins 200 grams (7 oz.) Packaged in plastic bags. Bar Code:992203621,Undeclared sulfites
Food,Ongoing,The Neil Jones Food Company,Vancouver,WA,"	98660-1067",United States,F-0129-2021,Class II,"Sysco Arrezzio 3/8"" Petite Diced Tomatoes in Tomato Puree, #7807458, each metal can has the net weight of 6.38 lbs. (2.89 kg).  UPC 7 34730 21799 4.    The label is read in parts: ""***Arrezzio Petite Diced Tomatoes in Tomato Puree *** INGREDIENTS: Vined-Ripened Tomatoes, Salt, Citric Acid, and Calcium Chloride *** DISTRIBUTED BY SYSCO CORPORATION, HOUSTON, TEXAS***",Recall due to presence of foreign material. Foreign object is made out of black and hard plastic.
Veterinary,Ongoing,"ICU Medical, Inc.",San Clemente,CA,"	92673-6212",United States,V-0031-2021,Class II,"Spinning Spiros Closed Male Luer, REF: AH2000S    ","Potential for spinning versions of male luers to exhibit leaks due to a molding defect. Fluid leakage may potentially cause delay of infusion, contamination of the fluid path, exposure to hazardous medications, blood loss, exposure to patient blood, or fluid path air-in-line."
