Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info,More Code Info
Devices,No,,86047,Ongoing,"CME America, LLC",14998 W 6th Ave Ste 830,,Golden,CO,"	80401-5025",United States,Voluntary: Firm initiated,Letter,"Worldwide distribution - U.S. Nationwide distribution including in the states of AZ, AK, CA, CO, CT, FL, ID, IL, KS, LA, MA, MI, MO, MT, NC, NE, NV, Oh, OK, OR, PA, TN, TX, WA, and WI. The country of Canada.",Z-0527-2021,Class II,"CME America T-Syringe Pump - T34L PCA - Product Usage: infusion of medications or fluids requiring continuous or intermittent delivery at precisely-controlled infusion rates through clinically acceptable routes of administration, including intravenous, subcutaneous, percutaneous, intra-arterial, epidural, in close proximity to nerves, and into an intra-operative site (soft tissue/body cavity/surgical wound site).","Total pumps = 4,182 (all models)","Multiple reasons:  1) Due to wear and tear of pump motor block mechanism - may cause under infusion situations without the pump alarm being generated.  2) Due to cracks, pump hardware may be damaged by fluid used during the cleaning process.",7/30/20,12/3/20,,12/9/20,Model T34L PCA - Part Number(s) (UDI Codes)  100-106PSL  (UDI Code: B101100106PSL0)  Serial Number:  26486  26485  26484  S93716    100-106PSLM (retired prior to UDI),
Devices,No,,86047,Ongoing,"CME America, LLC",14998 W 6th Ave Ste 830,,Golden,CO,"	80401-5025",United States,Voluntary: Firm initiated,Letter,"Worldwide distribution - U.S. Nationwide distribution including in the states of AZ, AK, CA, CO, CT, FL, ID, IL, KS, LA, MA, MI, MO, MT, NC, NE, NV, Oh, OK, OR, PA, TN, TX, WA, and WI. The country of Canada.",Z-0528-2021,Class II,"CME America T-Syringe Pump - Neofeed - Product Usage: infusion of medications or fluids requiring continuous or intermittent delivery at precisely-controlled infusion rates through clinically acceptable routes of administration, including intravenous, subcutaneous, percutaneous, intra-arterial, epidural, in close proximity to nerves, and into an intra-operative site (soft tissue/body cavity/surgical wound site).","Total pumps = 4,182 (all models)","Multiple reasons:  1) Due to wear and tear of pump motor block mechanism - may cause under infusion situations without the pump alarm being generated.  2) Due to cracks, pump hardware may be damaged by fluid used during the cleaning process.",7/30/20,12/3/20,,12/9/20,Model Neofeed - Part Number(s)  100-109PSL1A; 100-109PSLA; 100-110PSLA    UDI Codes:  B101100109PSLA0  B101100109SL1A0  B101100110PSLA0    Serial Number:  58767  58763  58761  26410  26439  26447  26456  26460  26461  26462  26463  26464  26465  26158  26157  26159  26160  26161  26134  26135  23136  26047  26008  26055  26054  26053  26048  26036  26050  26031  26035  26028  26007  26022  26014  26033  26012  26005  26023  26002  26000  26024  26034  25998  26010  26001  26009  26003  26015  26004  26006  26016  25930  25931  25932  25933  25938  25939  25960  25961  25962  25963  25964  25965  25966  25967  25969  25970  25971  25972  25973  25974  25975  25976  25977  25978  25979  25980  25981  25982  25983  25984  25985  25986  25987  25988  25989  25990  25991  25992  25993  25995  25996  25936  25935  25947  25968  25956  25949  25943  25954  25948  25934  25951  25945  25944  25953  25946  25952  25959  25957  25950  25958  25941  25955  25942  25937  25901  25903  25897  25900  25919  25839  25836  25880  25882  25874  25852  25884  25881  25883  25838  25916  25922  25912  25917  25913  25915  25914  25907  25921  25918  25909  25920  25908  25928  25929  25899  25910  25898  25911  25905  25894  25902  25904  25896  25906  25831  25834  25837  25840  25842  25843  25844  25847  25850  25855  25856  25857  25858  25859  25861  25862  25864  25865  25866  25867  25868  25869  25870  25871  25872  25873  25885  25886  25887  25888  25889  25890  25891  25892  25893  25895  25863  25846  25854  25853  25824  25851  25849  25860  25841  25845  25828  25833  25830  25832  25825  25827  25823  25826  25829  25835  25879  25878  25877  25875  25876  25848  25699  25700  25698  25815  25805  25822  25806  25809  25807  25821  25812  25808  25820  25810  25817  25811  S70178  S70198  S70202  S70204  S70116  S70152  S70153  S70154  S70159  S70161  S70155  S70212  S70158,
Devices,No,,86047,Ongoing,"CME America, LLC",14998 W 6th Ave Ste 830,,Golden,CO,"	80401-5025",United States,Voluntary: Firm initiated,Letter,"Worldwide distribution - U.S. Nationwide distribution including in the states of AZ, AK, CA, CO, CT, FL, ID, IL, KS, LA, MA, MI, MO, MT, NC, NE, NV, Oh, OK, OR, PA, TN, TX, WA, and WI. The country of Canada.",Z-0529-2021,Class II,"CME America T-Syringe Pump - Ameritus 1st Enteral Pump - Product Usage: infusion of medications or fluids requiring continuous or intermittent delivery at precisely-controlled infusion rates through clinically acceptable routes of administration, including intravenous, subcutaneous, percutaneous, intra-arterial, epidural, in close proximity to nerves, and into an intra-operative site (soft tissue/body cavity/surgical wound site).","Total pumps = 4,182 (all models)","Multiple reasons:  1) Due to wear and tear of pump motor block mechanism - may cause under infusion situations without the pump alarm being generated.  2) Due to cracks, pump hardware may be damaged by fluid used during the cleaning process.",7/30/20,12/3/20,,12/9/20,Model Ameritus 1st Enteral Pump - Part Number(s)  AEG-1PUMP  Serial Number:  58791  58770  58769  58768  58760  26417  26480  26481  26482  26483  26466  26467  26468  26469  26470  26471  26472  26473  26474  26475  26476  26477  26453  26454  26457  26448  26452  26449  26458  26455  26451  26459  26450  26445  26446  26440  26441  26427  26419  26420  26421  26422  26423  26424  26425  26426  26411  26413  26414  26416  26283  26284  26285  26286  26287  26288  26289  26290  26291  26292  26293  26281  26282  26252  26255  26254  26257  26250  26251  26256  26253  26249  26248  26267  26242  26243  26244  26245  26246  26247  26212  26215  26216  26217  26218  26219  26220  26221  26222  26223  26224  26225  26226  26227  26228  26229  26230  26231  26232  26233  26234  26235  26236  26237  26238  26239  26240  26162  26165  26166  26167  26169  26170  26172  26175  26176  26177  26180  26181  26182  26183  26184  26186  26163  26164  26168  26171  26173  26174  26178  26179  26185  26095  26100  26098  26062  26102  26109  26101  26069  26067  26020  26018  26019  26064  26093  26085  26099  26096  26097  26094  26090  26089  26092  26086  26111  26106  26060  26066  26063  26059  26065  26123  26119  26076  26083  26121  26080  26079  26078  26091  26105  26104  26103  26108  26112  26122  26126  26118  26082  26127  26072  26113  26107  26114  26110  26071  26081  26117  26075  26116  26073  26115  26074  26070  26120  26125  26026  26032  26029  26030  26027  26021  58811  58813  58814  58815  58816  58817  58818  58819  58821  58822  58823  58826  58827  58830  58927  58928  58929  58930  58931  58932  69790  69791  69792  69793  69794  69795  69796  69797  69798  69800  69802  69803  69805  69806  69807  69808  69809  69810  69811  69812  69813  69814  69874  69875  69876  69878  69879  69881  69882  A100156  A100157  A100158  S69877  S69880  S69883  S70112  S70122  S70123  S70133  S70135  S70137  S70156  S70171  S70179  S70180  S70197  S70199  S70200  S70201    UDI Code:  B101AEG1PUMP0,
Devices,No,,86047,Ongoing,"CME America, LLC",14998 W 6th Ave Ste 830,,Golden,CO,"	80401-5025",United States,Voluntary: Firm initiated,Letter,"Worldwide distribution - U.S. Nationwide distribution including in the states of AZ, AK, CA, CO, CT, FL, ID, IL, KS, LA, MA, MI, MO, MT, NC, NE, NV, Oh, OK, OR, PA, TN, TX, WA, and WI. The country of Canada.",Z-0530-2021,Class II,"CME America T-Syringe Pump - T34 - Product Usage: infusion of medications or fluids requiring continuous or intermittent delivery at precisely-controlled infusion rates through clinically acceptable routes of administration, including intravenous, subcutaneous, percutaneous, intra-arterial, epidural, in close proximity to nerves, and into an intra-operative site (soft tissue/body cavity/surgical wound site).","Total pumps = 4,182 (all models)","Multiple reasons:  1) Due to wear and tear of pump motor block mechanism - may cause under infusion situations without the pump alarm being generated.  2) Due to cracks, pump hardware may be damaged by fluid used during the cleaning process.",7/30/20,12/3/20,,12/9/20,Model T34 - Part Number(s)  100-100PS; 100-100PSA; 100-100POBSC; 100-101PS  Serial Number:  58771  58772  58773  58774  58775  58776  58777  58778  58779  58780  58781  58782  58783  58784  58785  58786  58787  58788  58789  58790  26478  S26442  S26443  S26444  26305  26307  26309  26310  26311  26312  26313  26314  26315  26316  26317  26318  26319  26320  26321  26322  26335  26323  26324  26325  26326  26327  26328  26329  26330  26331  26332  26333  26334  26336  26337  26338  26339  26340  26341  26342  26343  26344  26345  26346  26347  26348  26349  26350  26351  26352  26353  26354  26355  26356  26357  26358  26360  26361  26362  26363  26364  26365  26366  26367  26368  26369  26370  26371  26372  26373  26374  26375  26376  26377  26378  26379  26380  26381  26382  26383  26384  26386  26387  26388  26389  26390  26391  26392  26393  26394  26395  26396  26397  26398  26399  26400  26401  26402  26404  26405  26407  26408  S26261  S26262  S26263  S26264  S26265  S26266  26139  26140  26137  26141  26138  26146  26142  26144  26145  26143  26147  26151  26148  26149  26150  25923  25924  25925  25926  25927  82572  82580  A100488  A100526  A100527  A100514  A100493  A100535  A100531  A100519  A100505  A100492  A100496  A100490  A100501  A100522  A100524  A100513  A100529  A100528  A100533  A100518  A100507  A100497  A100495  A100500  A100503  A100489  A100523  A100515  A100512  A100537  A100530  A100534  A100521  A100510  A100498  A100509  A100499  A100504  A100525  A100516  A100511  A100536  A100532  A100517  A100520  A100508  A100506  A100491  A100502  A100494  A100152  A100153  A100154  A100155  58852  58854  58855  58856  58857  58858  58860  58861  58862  58863  58864  58865  58866  58867  58868  58869  58870  58871  58872  58873  58874  58875  58876  58877  58878  58880  58882  58883  58885  58886  58887  58888  58889  58890  58891  58892  58893  58895  58896  58897  58898  58899  58900  58901  58902  58903  58904  58945  58946  58947  58948  58949  58950  58952  58953  58954  58955  58957  58958  58959  58960  58962  58963  58964  58965  58966  58967  58968  58969  58970  58971  58972  58973  58974  58975  58976  58977  58978  58979  58980  58981  58982  58983  58984  58985  58986  58987  58988  58989  58990  58991  58993  58994  58995  69596  69598  69613  S69884  S69885  S69886  S69887  S69888  S69889  S69890  S69891  S69892  S69893  S69894  S69895  S69896  S69897  S69898  S69899  S69900  S69901  S69902  S69903  S69904  S69905  S69906  S69908  S69909  S69910  S69911  S69912  S69913  S69914  S69915  S69916  S69917  S69918  S69919  S69920  S69922  S69923  S69925  S69926  S69927  S69928  S69929  S69930  S69931  S69932  S69934  S69935  S79589  S79590  S69723  S69725  S69726  S69729  S69730  S69732  S69733  S69735  S69738  S69740  S90001  S90002  S90003  S90004  S90000  S90005  S90006  S70020  S70021  S70022  S70023  S70024  S70025  S70026  S70027  S70028  S70029  S70030  S70031  S70032  S70033  S70034  S70035  S70036  S70037  S70038  S70039  S70040  S70041  S70042  S70043  S70044  S70045  S70046  S70047  S70048  S70050  S70051  S70052  S70053  S70054  S70055  S70056  S70057  S70058  S70059  S70060  S70061  S70062  S70063  S70064  S70069  S70072  S70074  S70075  S70079  S70080  A100001  A100002  A100003  A100004  A100005  A100006  A100007  A100008  A100009  A100010  A100011  A100012  A100013  A100014  A100015  A100016  A100017  A100018  A100019  A100020  A100021  A100022  A100023  A100024  A100025  A100026  A100027  A100028  A100029  A100030  A100031  A100032  A100033  A100034  A100035  A100036  A100037  A100038  A100039  A100040  A100041  A100042  A100043  A100044  A100045  A100046  A100047  A100048  A100049  A100050  A100051  A100052  A100053  A100054  A100055  A100056  A100057  A100058  A100059  A100060  A100061  A100062  A100063  A100064  A100065  A100066  A100067  A100068  A100069  A100070  A100071  A100072  A100073  A100074  A100075  A100076  A100077  A100078  A100079  A100080  A100081  A100082  A100083  A 100084  A100085  A100086  A100087  A100088  A100089  A100090  A100091  A100092  A100093  A100094  A100095  A100096  A100097  A100098  A100099  A100100  S69737  A100102  A100103  A100104  A100105  A100106  A100107  A100108  A100109  A100110  A100111  A100112  A100113  A100114  A100119  A100120  A100121  A100122  A100123  A100124  A100125  A100126  A100127  A100128  A100130  A100131  A100132  A100133  A100134  A100135  A100136  A100137  A100140  A100141  A100142  A100143  A100144  A100145  A100147  A100150  A100151  A100139  A100115  A100116  A100117  A100129  A100138  A100146  A100148  A100149  A100159  A100161  A100162  A100163  A100164  A100165  A100166  A100167  A100168  A100169  A100170  A100171  A100172  A100173  A100174  A100175  A100176  A100177  A100178  A100179  A100180  A100181  A100183  A100184  A100185  A100186  A100188  A100189  A100190  A100191  A100192  A100193  A100194  A100195  A100197  A100198  A100199  A100200  A100201  A100202  A100203  A100204  A100207  A100209  A100210  A100211  A100212  A100214  A100225  A100226  A100227  A100228  A100229  A100238  A100239  A100283  A100286  A100289  A100290  A100291  A100292  A100205  A100213  A100219  A100221  A100222  A100223  A100224  A100280  A100284  A100206  A100208  A100217  A100218  A100220  A100240  A100241  A100242  A100243  A100244  A100245  A100246  A100247  A100248  A100249  A100250  A100251  A100252  A100253  A100254  A100255  A100256  A100257  A100258  A100259  A100260  A100261  A100262  A100263  A100264  A100265  A100266  A100267  A100268  A100269  A100270  A100271  A100272  A100273  A100274  A100275  A100276  A100277  A100278  A100279  A100281  A100282  A100285  A100287  A100288  A100160  A100182  A100187  A100196  A100215  A100216  A100230  A100231  A100232  A100233  A100234  A100235  A100236  A100237  A100299  A100300  A100301  A100302  A100303  A100304  A100305  A100306  A100307  A100308  A100309  A100310  A100311  A100312  A100313  A100315  A100316  A100317  A100318  A100319  A100320  A100321  A100322  A100323  A100324  A100325  A100326  A100327  A100328  A100329  A100330  A100332  A100333  A100334  A100335  A100336  A100337  A100338  A100339  A100341  A100344  A100345  A100346  A100347  A100348  A100349  A100351  A100352  A100353  A100354  A100355  A100356  A100357  A100358  A100359  A100360  A100361  A100362  A100363  A100365  A100366  A100367  A100368  A100369  A100370  A100371  A100372  A100374  A100375  A100376  A100377  A100378  A100379  A100380  A100381  A100383  A100384  A100385  A100386  A100387  A100388  A100389  A100390  A100391  A100392  A100393  A100394  A100395  A100396  A100397  A100398  A100399  A100400  A100401  A100402  A100403  A100404  A100405  A100406  A100407  A100408  A100409  A100410  A100411  A100412  A100413  A100414  A100415  A100416  A100417  A100418  A100419  A100420  A100421  A100422  A100423  A100424  A100425  A100426  A100427  A100428  A100429  A100430  A100431  A100432  A100433  A100373  A100364  A100434  A100435  A100436  A100437  A100438  A100439  A100440  A100441  A100442  A100443  A100444  A100445  A100446  A100447  A100448  A100449  A100450  A100451  A100452  A100453  A100454  A100455  A100456  A100457  A100458  A100459  A100460  A100461  A100462  A100463  A100464  A100465  A100466  A100467  A100468  A100469  A100470  A100471  A100472  A100473  A100474  A100475  A100476  A100477  A100478  A100479  A100480  A100481  A100482  A100483  A100118  A100293  A100298  A100314  A100331  A100340  A100342  A100343  A100350  A100382  A100294  A100295  A100296  A100484  A100485  A100486  A100487  A100538  A100539  A100540  A100541  A100542  A100543  A100544  A100545  A100546  A100547  A100548  A100549  A100550  A100551  A100552  A100554  A100555  A100556  A100557  A100562  A100564  A100565  A100566  A100567  A100568  A100569  A100570  A100571  A100572  A100573  A100574  A100575  A100576  A100577  A100578  A100579  A100580  A100581  A100582  A100583  A100584  A100586  A100587  A100588  A100589  A100590  A100591  A100594  A10059 5  A100596  A100597  A100598  A100599  A100600  A100601  A100602  A100603  A100604  A100605  A100606  A100607  A100608  A100609  A100610  A100611  A100614  A100615  A100616  A100617  A100618  A100619  A100620  A100621  A100622  A100623  A100624  A100625  A100626  A100627  A100628  A100629  A100630  A100631  A100632  A100553  A100633  A100634  A100635  A100636  A100637  A100638  A100639  A100640  A100641  A100642  A100643  A100644  A100645  A100646  A100647  A100648  A100659  A100663  A100664  A100665  A100666  A100672  A100673  A100676  A100677  A100679  A100680  A100681  A100682  A100683  A100684  A100685  A100686  A100687  A100688  A100690  A100691  A100692  A100693  A100702  A100734  A100735  A100736  A100737  A100738  A100739  A100740  A100741  A100742  A100743  A100744  A100745  A100746  A100747  A100748  A100749  A100750  A100751  A100752  A100753  A100754  A100755  A100756  A100757  A100758  A100759  A100760  A100761  A100762  A100763  A100764  A100765  A100766  A100767  A100768  A100770  A100771  A100772  A100773  A100774  A100775  A100776  A100777  A100778  A100779  A100780  A100781  A100782  A100783  A100784  A100785  A100786  A100787  A100788  A100789  A100790  A100791  A100792  A100793  A100726  A100720  A100649  A100650  A100651  A100652  A100654  A100655  A100656  A100657  A100658  A100660  A100661  A100662  A100667  A100668  A100669  A100670  A100558  A100559  A100560  A100561  A100563  A100585  A100592  A100593  A100612  A100613  A100804  A100805  A100806  A100807  A100808  A100809  A100810  A100811  A100812  A100813  A100814  A100815  A100816  A100817  A100818  A100819  A100820  A100821  A100822  A100823  A100824  A100825  A100826  A100827  A100828  A100829  A100830  A100831  A100832  A100833  A100834  A100835  A100836  A100837  A100838  A100839  A100840  A100841  A100842  A100843  A100671  A100674  A100675  A100678  A100689  A100694  A100711  A100719  A100725  A100727  A100732  A100695  A100696  A100697  A100698  A100699  A100700  A100701  A100703  A100844  A100845  A100846  A100847  A100848  A100849  A100850  A100851  A100852  A100853  A100854  A100855  A100856  A100857  A100858  A100859  A100860  A100861  A100862  A100863  A100864  A100865  A100866  A100867  A100868  A100869  A100870  A100871  A100872  A100873  A100874  A100875  A100876  A100877  A100878  A100879  A100880  A100881  A100882  A100883  A100884  A100885  A100886  A100887  A100888  A100889  A100890  A100891  A100892  A100893  A100894  A100895  A100896  A100897  A100898  A100899  A100900  A100901  A100903  A100904  A100905  A100906  A100907  A100908  A100909  A100910  A100911  A100912  A100913  A100914  A100915  A100916  A100917  A100918  A100919  A100920  A100921  A100922  A100923  A100924  A100925  A100926  A100927  A100928  A100929  A100930  A100931  A100932  A100933  A100934  A100935  A100936  A100937  A100938  A100939  A100940  A100941  A100942  A100943  A100944  A100945  A100946  A100947  A100948  A100949  A100950  A100951  A100952    UDI Codes:  B101100100POBSC0  B101100100PSA0  100-100PS and 100-101PS retired prior to UDI,
Devices,No,,86075,Ongoing,"ICU Medical, Inc.",951 Calle Amanecer,,San Clemente,CA,"	92673-6212",United States,Voluntary: Firm initiated,Letter,"U.S. Nationwide distribution including in the states of WI, MA, CA, FL, MN, IL, NY.",Z-0511-2021,Class II,"REF MC330209 6' (15 cm) Appx 0.09 ml, Smallbore Trifuse Ext Set w/3 MicroClave Clear, 0.2 Micron Filter, 1.2 Micron Filter, 3 Clamps (Blue, Yellow, White), Rotating Luer - Product Usage: The intravascular administration set is a single use, sterile, non-pyrogenic device, which provides access for the administration of fluids from a container to a patient s vascular system through the administration set s needle catheter (which is inserted into a vein).    Directions for Use:  icumedical IV Extension Sets Clave/MicroClave/NanoClave Connectors Antimicrobial Clave/MicroClave Connectors  Spiros Closed Male Luer.",1100 units,Incorrect filter assemblies in IV administration set.,7/1/20,12/1/20,,12/9/20,"Product code : MC330209; Lot numbers:4447222, 4536285, 4572773, 4603405  Unique Device Identifier (UDI)s: (01)10887709080543(17)241101(30)50(10)4447222; (01)10887709080543(17)241201(30)50(10)4536285; (01)10887709080543(17)250101(30)50(10)4572773; (01)10887709080543(17)250101(30)50(10)4603405",
Devices,No,,86528,Ongoing,"Verathon, Inc.",20001 N Creek Pkwy,,Bothell,WA,"	98011-8218",United States,Voluntary: Firm initiated,Letter,"Worldwide distribution - U.S. Nationwide distribution including in the states of AL, AZ, CA, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, NC, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, VT, WI, WV and WY.    The countries of Austrailia, Belgium, Canada, France, Germany, Kuwait, Luxembourg, New Zealand, Portugal, Singapore, Sweden, Switzerland, Taiwan, and United Kingdom.",Z-0531-2021,Class II,BladderScan Prime Plus Probe REF 0570-0395 - Product Usage: intended to be used for measuring the urine volume in the bladder noninvasively.,398 units,"Due to a change in handle material and process, probe handle may crack.",9/29/20,12/3/20,,12/9/20,Part Number: 0570-0395  Device Listing Number: D318438  UDI Code: 0 0879123 00649 3  Serial Numbers:  P1001848  P1500333  P1500436  P1500486  P1500517  P1500519  P1500528  P1500604  P1500642  P1500657  P1501000  P1501088  P1501102  P1501115  P1501122  P1501247  P1501255  P1501259  P1501326  P1501330  P1501394  P1501399  P1501607  P1501625  P1501739  P1501765  P1501779  P1501788  P1501845  P1501911  P1501979  P1502058  P1503069  P1503070  P1503071  P1503072  P1503073  P1503074  P1503075  P1503076  P1503077  P1503078  P1503079  P1503080  P1503081  P1503082  P1503083  P1503084  P1503085  P1503086  P1503087  P1503088  P1503089  P1503093  P1503096  P1503098  P1503099  P1503100  P1503102  P1503104  P1503106  P1503109  P1503110  P1503111  P1503112  P1503113  P1503114  P1503117  P1503118  P1504415  P1504427  P1504463  P1504564  P1504664  P1504754  P1504906  P1505005  P1505019  P1505119  P1505133  P1505181  P1505208  P1505479  P1505481  P1505491  P1505496  P1505506  P1505531  P1505676  P1505695  P1505696  P1505762  P1505782  P1505788  P1505845  P1505874  P1505951  P1506018  P1506066  P1506161  P1506253  P1506309  P1506332  P1506348  P1506351  P1506356  P1506363  P1506371  P1506401  P1506546  P1506558  P1506737  P1506807  P1506904  P1506921  P1507029  P1507084  P1507091  P1507124  P1507202  P1507221  P1507391  P1507412  P1507652  P1507728  P1507801  P1507980  P1507987  P1508116  P1508123  P1508181  P1508202  P1508279  P1508375  P1508386  P1508495  P1508536  P1508597  P1508646  P1508738  P1508739  P1508780  P1508818  P1509049  P1509052  P1509317  P1509325  P1509339  P1509417  P1509444  P1509487  P1509530  P1511230  P1511755  P1517688  P1517690  P1517691  P1517692  P1517693  P1517694  P1517695  P1517696  P1517697  P1517698  P1517699  P1517700  P1517701  P1517702  P1517703  P1517709  P1517710  P1517711  P1517712  P1517713  P1517714  P1517715  P1517716  P1517731  P1517732  P1517733  P1517734  P1517736  P1517737  P1517738  P1517739  P1517740  P1517741  P1517742  P1517743  P1517744  P1517745  P1517746  P1517747  P1517748  P1517749  P1517750  P1517751  P1517752  P1517753  P1517754  P1517755  P1517756  P1517757  P1517758  P1517759  P1517760  P1517761  P1517762  P1517763  P1517764  P1517765  P1517766  P1517767  P1517768  P1517771  P1517773  P1517774  P1517775  P1517776  P1517777  P1517778  P1517779  P1517780  P1517781  P1517782  P1517783  P1517785  P1517829  P1517835  P1517837  P1517838  P1517839  P1517840  P1517841  P1517842  P1517843  P1517844  P1517845  P1517846  P1517873  P1517874  P1517876  P1517878  P1517879  P1517880  P1517884  P1517885  P1517889  P1517890  P1517891  P1517892  P1517893  P1517894  P1517895  P1517896  P1517897  P1517898  P1517900  P1517901  P1517907  P1517908  P1517909  P1517910  P1517911  P1517912  P1517913  P1517914  P1517915  P1517916  P1517917  P1517918  P1517919  P1517920,
Devices,No,,86604,Ongoing,Invacare Corporation,1200 Taylor St,,Elyria,OH,"	44035-6248",United States,Voluntary: Firm initiated,Letter,"Worldwide distribution.  US Nationwide, Canada, Australia, China, Germany, Guam, New Zealand, and Northern Mariana Islands",Z-0514-2021,Class II,"Invacare PerfectO2 V Oxygen Concentrator- intended for patients with respiratory disorders requiring supplemental oxygen   Model Numbers: IRC5PO2V (US), IRC5PO2VC (Canada),  All World:  IRC5PO2VAW, IRC5PO2VAWL2, IRC5PO2VAWL3, IRC5PO2VAWL4, IRC5PO2VAWL5  ","384,767 units","Breakdown of the sound abatement washer, and metal on metal wear inside the Pressure Equalization (P.E.) valve assembly in the concentrator may lead to failure that can result in self-extinguishing fires or cap explosions.",10/30/20,12/1/20,,12/9/20,Model numbers:  IRC5PO2V from Serial # 14HF039890 to 18JF007415;  IRC5PO2VC from Serial # 14IF004028 to 18JF028633;    IRC5PO2VAW  from serial #17HF030338-18IF018522;   IRC5PO2VAWL2 from serial # 18BF007341-18IF024451;   IRC5PO2VAWL3 from serial # 17JF002563-19AF008559;   IRC5PO2VAWL5 from serial # 18EF003466-18EF003544.    DI Number: 00841447100249,
Devices,No,,86626,Ongoing,ROi CPS LLC,3000 E Sawyer Rd,,Republic,MO,"	65738-2758",United States,Voluntary: Firm initiated,E-Mail,US Nationwide distribution in the states of MO and OK.,Z-0524-2021,Class II,Regard - Product Usage: Obstetric Gynecologic specialized manual instrument. Labor and delivery kits.,220 kits,"Labeling error, incorrect expiration date.",10/12/20,12/2/20,,12/9/20,"Lot Numbers: 78483C, 79932C, 81043C, 82586C, 83090C.",
Devices,No,,86631,Ongoing,"Ethicon, Inc.",Us Highway 22 West,,Somerville,NJ,"	08876",United States,Voluntary: Firm initiated,Letter,"The impacted lot (295 units) was distributed to 27 countries worldwide excluding the US. However, the firm is only recalling the 15 units that were distributed in South Korea due to South Korea's Ministry of Food and Drug Safety (MFDS) requirements.",Z-0533-2021,Class II,"PROCEED Surgical Mesh  Hernia Mesh Oval, 15 cm x 20 cm",295 units distributed. Only 15 units are being recalled.,"The firm is recalling the PROCEED Surgical Mesh device, because it is a sterile device, and a customer found a hair inside of the primary packaging of a single unit.",10/23/20,12/3/20,,12/9/20,Product Code - PCDG1  Product Lot - PHG118  GTIN Code - 10705031047716  Expiration Date: 07/31/2021,
Devices,No,,86649,Ongoing,Olympus Corporation of the Americas,3500 Corporate Pkwy,PO Box 610,Center Valley,PA,"	18034-0610",United States,Voluntary: Firm initiated,Letter,"Worldwide distribution - US Nationwide distribution.    Model Name        ------------   Quantity distributed in U.S.    GF-UC140P-AL5  ------------- 1,297 devices  GF-UCT150-AL5  -------------  564 devices  GF-UCT180 --------------------  3,145 devices  GF-UM20 -----------------------     31 devices  GF-UM130 ---------------------     27 devices  GF-UMQ130 -------------------   373 devices  GF-UM160 ---------------------   299 devices  GF-UC160P-OL5 -------------    46 devices  GF-UCT160-OL5 -------------    49 devices  GF-UE160-AL5  -------------- 2,691 devices",Z-0498-2021,Class II,"Olympus Ultrasound Endoscope, Model number: GF-UCT140P-AL5 - Product Usage: used with other supporting equipment for endoscopic real-time ultrasound imaging and endoscopic surgery within the gastrointestinal tract.","1,297 devices",A new inspection step was added to the cleaning and disinfection section of the Instructions For Use (IFU) for this device in order to reduce the risk of causing patient infections.,10/16/20,11/27/20,,12/9/20,All Serial/Lot Numbers,
Devices,No,,86649,Ongoing,Olympus Corporation of the Americas,3500 Corporate Pkwy,PO Box 610,Center Valley,PA,"	18034-0610",United States,Voluntary: Firm initiated,Letter,"Worldwide distribution - US Nationwide distribution.    Model Name        ------------   Quantity distributed in U.S.    GF-UC140P-AL5  ------------- 1,297 devices  GF-UCT150-AL5  -------------  564 devices  GF-UCT180 --------------------  3,145 devices  GF-UM20 -----------------------     31 devices  GF-UM130 ---------------------     27 devices  GF-UMQ130 -------------------   373 devices  GF-UM160 ---------------------   299 devices  GF-UC160P-OL5 -------------    46 devices  GF-UCT160-OL5 -------------    49 devices  GF-UE160-AL5  -------------- 2,691 devices",Z-0499-2021,Class II,"Olympus Ultrasound Endoscope, Model Number: GF-UCT140-AL5 - Product Usage: used with other supporting equipment for endoscopic real-time ultrasound imaging and endoscopic surgery within the gastrointestinal tract.",564,A new inspection step was added to the cleaning and disinfection section of the Instructions For Use (IFU) for this device in order to reduce the risk of causing patient infections.,10/16/20,11/27/20,,12/9/20,All Serial/Lot Numbers,
